id,prediction
001_0_0,1
001_0_16,1
001_0_32,1
001_0_48,1
001_0_64,1
001_0_80,1
001_0_96,1
001_0_112,1
001_0_128,1
001_0_144,1
001_0_160,1
001_0_176,1
001_0_192,1
001_0_208,1
001_0_224,1
001_0_240,1
001_0_256,1
001_0_272,1
001_0_288,1
001_0_304,1
001_0_320,1
001_0_336,1
001_0_352,1
001_0_368,1
001_0_384,1
001_16_0,1
001_16_16,1
001_16_32,1
001_16_48,1
001_16_64,1
001_16_80,1
001_16_96,1
001_16_112,1
001_16_128,1
001_16_144,1
001_16_160,1
001_16_176,1
001_16_192,1
001_16_208,0
001_16_224,0
001_16_240,0
001_16_256,1
001_16_272,1
001_16_288,0
001_16_304,1
001_16_320,1
001_16_336,1
001_16_352,1
001_16_368,1
001_16_384,1
001_32_0,1
001_32_16,1
001_32_32,1
001_32_48,1
001_32_64,1
001_32_80,1
001_32_96,1
001_32_112,1
001_32_128,1
001_32_144,0
001_32_160,1
001_32_176,1
001_32_192,1
001_32_208,0
001_32_224,0
001_32_240,0
001_32_256,1
001_32_272,1
001_32_288,0
001_32_304,0
001_32_320,1
001_32_336,1
001_32_352,1
001_32_368,1
001_32_384,1
001_48_0,1
001_48_16,1
001_48_32,1
001_48_48,1
001_48_64,1
001_48_80,1
001_48_96,1
001_48_112,1
001_48_128,0
001_48_144,0
001_48_160,1
001_48_176,1
001_48_192,1
001_48_208,0
001_48_224,0
001_48_240,1
001_48_256,1
001_48_272,1
001_48_288,0
001_48_304,0
001_48_320,0
001_48_336,1
001_48_352,1
001_48_368,1
001_48_384,1
001_64_0,1
001_64_16,1
001_64_32,1
001_64_48,1
001_64_64,1
001_64_80,1
001_64_96,1
001_64_112,1
001_64_128,1
001_64_144,1
001_64_160,1
001_64_176,1
001_64_192,1
001_64_208,1
001_64_224,1
001_64_240,1
001_64_256,1
001_64_272,1
001_64_288,1
001_64_304,1
001_64_320,1
001_64_336,1
001_64_352,1
001_64_368,1
